time, attx, atty, attz, accx, accy, accz, velx, vely, velz, locx, locy, locz
1468348071751744,0.0080972,0.0161867,1.4909,0.0906899,-0.0907437,-0.273119,0.00281424,-0.011881,-0.0209838,0.000225891,-0.00124862,-0.000903107,
1468348071761798,0.00820478,0.0161329,1.4905,0.0906899,-0.0907437,-0.273119,0.00372114,-0.0127885,-0.023715,0.000258568,-0.00137197,-0.0011266,
1468348071771838,0.00805829,0.0162157,1.49024,0.0906899,-0.0907437,-0.273119,0.00462804,-0.0136959,-0.0264462,0.000300313,-0.00150439,-0.00137741,
1468348071781874,0.00790301,0.0163084,1.49006,0.123217,-0.0907437,-0.273119,0.00569757,-0.0146033,-0.0291773,0.000351942,-0.00164589,-0.00165552,
1468348071791922,0.00763241,0.0164057,1.48981,0.182303,-0.0907437,-0.273119,0.00722517,-0.0155108,-0.0319085,0.000416555,-0.00179646,-0.00196095,
1468348071801964,0.0075328,0.0164376,1.48969,0.148716,-0.0579829,-0.273119,0.00888027,-0.0162544,-0.0346397,0.000497082,-0.00195528,-0.00229369,
1468348071812001,0.00734538,0.0164638,1.48954,0.113793,-0.0300601,-0.273119,0.0101928,-0.0166946,-0.0373709,0.000592448,-0.00212003,-0.00265375,
1468348071822038,0.0073635,0.0164605,1.48899,0.113793,-0.0300601,-0.273119,0.0113307,-0.0169952,-0.0401021,0.000700066,-0.00228848,-0.00304111,
1468348071832088,0.00747829,0.0164213,1.48766,0.113793,-0.095514,-0.242575,0.0124687,-0.0176231,-0.0426806,0.000819062,-0.00246157,-0.00345503,
1468348071842126,0.00737187,0.0164643,1.48661,0.113793,-0.12485,-0.242575,0.0136066,-0.0187249,-0.0451063,0.000949439,-0.00264331,-0.00389396,
1468348071852167,0.00733835,0.016475,1.48553,0.113793,-0.12485,-0.242575,0.0147445,-0.0199734,-0.0475321,0.00109119,-0.0028368,-0.00435715,
1468348071862204,0.00700544,0.0165999,1.4844,0.113793,-0.12485,-0.242575,0.0158824,-0.0212219,-0.0499578,0.00124433,-0.00304278,-0.0048446,
