time, attx, atty, attz, accx, accy, accz, velx, vely, velz, locx, locy, locz
1468348629336778,0.0160347,0.00890015,1.39721,0.0345774,0.0490537,-0.0351924,0.0206993,0.00219453,-0.00634439,0.0053273,-0.00259541,-0.00137128,
1468348629346814,0.0152731,0.00953871,1.39454,0.0345774,0.0490537,-0.0351924,0.0210451,0.00268507,-0.00669632,0.00553602,-0.00257101,-0.00143648,
1468348629356852,0.0141228,0.0105383,1.39139,0.0345774,0.0490537,-0.0351924,0.0213909,0.00317561,-0.00704824,0.0057482,-0.00254171,-0.0015052,
1468348629366888,0.0129803,0.0114633,1.38778,0.0345774,-0.000392205,-0.0351924,0.0217366,0.00341891,-0.00740017,0.00596384,-0.00250873,-0.00157745,
1468348629376925,0.0127286,0.0116871,1.38467,0.0345774,-0.0293471,-0.0351924,0.0220824,0.00327022,-0.00775209,0.00618293,-0.00247529,-0.00165321,
1468348629386964,0.0122242,0.0120913,1.38225,0.0345774,-0.0293471,-0.0688784,0.0224282,0.00297675,-0.00827244,0.00640549,-0.00244405,-0.00173333,
1468348629397001,0.0110998,0.0129125,1.38042,0.0345774,-0.0293471,-0.0688784,0.022774,0.00268327,-0.00896123,0.0066315,-0.00241575,-0.0018195,
1468348629407037,0.00952893,0.0140298,1.37865,0.0345774,-0.0293471,-0.0688784,0.0231197,0.0023898,-0.00965001,0.00686097,-0.00239039,-0.00191256,
1468348629417074,0.00719451,0.0157624,1.37628,0.0849229,-0.0636007,0.0220958,0.0237172,0.00192506,-0.00988392,0.00709515,-0.00236881,-0.00201022,
1468348629427114,0.00681081,0.0161482,1.37315,0.0849229,-0.0973966,0.0220958,0.0245665,0.00112008,-0.00966297,0.00733657,-0.00235359,-0.00210796,
1468348629437150,0.00658392,0.0164081,1.36993,0.0849229,-0.0973966,0.0220958,0.0254157,0.000146111,-0.00944201,0.00758648,-0.00234726,-0.00220348,
1468348629447186,0.00643206,0.0165533,1.36681,0.0849229,-0.0973966,0.0220958,0.0262649,-0.000827855,-0.00922105,0.00784488,-0.00235067,-0.0022968,
1468348629457222,0.00609885,0.0166311,1.36493,0.116424,-0.0973966,0.0220958,0.0272717,-0.00180182,-0.00900009,0.00811257,-0.00236382,-0.00238791,
1468348629467259,0.00609261,0.0170992,1.36475,0.0818466,-0.138568,0.0220958,0.028263,-0.00298164,-0.00877913,0.00839024,-0.00238773,-0.0024768,
1468348629477297,0.00602322,0.0175176,1.3643,0.0818466,-0.138568,0.0220958,0.0290815,-0.00436732,-0.00855818,0.00867696,-0.00242448,-0.00256349,
1468348629487335,0.00600832,0.0177202,1.36424,0.0818466,-0.166925,0.0220958,0.0298999,-0.00589478,-0.00833722,0.00897187,-0.00247579,-0.00264796,
1468348629497375,0.00606403,0.0177661,1.36478,0.0818466,-0.166925,0.0220958,0.0307184,-0.00756403,-0.00811626,0.00927496,-0.00254308,-0.00273023,
1468348629507413,0.00609784,0.017673,1.36641,0.0818466,-0.166925,0.0220958,0.0315369,-0.00923329,-0.0078953,0.00958624,-0.00262707,-0.00281029,
1468348629517453,0.00597388,0.01763,1.36971,0.0818466,-0.166925,0.0220958,0.0323553,-0.0109025,-0.00767434,0.0099057,-0.00272775,-0.00288814,
1468348629527490,0.00546416,0.0176983,1.37529,0.0818466,-0.166925,0.0572882,0.0331738,-0.0125718,-0.00727742,0.0102333,-0.00284512,-0.0029629,
1468348629537536,0.00451946,0.0178195,1.38244,0.0818466,-0.215979,0.0572882,0.0339923,-0.0144863,-0.00670454,0.0105692,-0.00298041,-0.00303281,
1468348629547580,0.00316067,0.0179353,1.38897,0.0818466,-0.215979,0.0572882,0.0348107,-0.0166461,-0.00613166,0.0109132,-0.00313607,-0.00309699,
1468348629557614,0.00122241,0.0183112,1.39465,0.0818466,-0.215979,0.0572882,0.0356292,-0.0188059,-0.00555878,0.0112654,-0.00331333,-0.00315544,
1468348629567650,-0.00069786,0.0188446,1.39916,0.0226111,-0.136875,0.288881,0.0361515,-0.0205702,-0.00382793,0.0116243,-0.00351021,-0.00320237,
1468348629577694,-0.00402499,0.0182124,1.40176,0.0226111,-0.058225,0.226322,0.0363776,-0.0215457,-0.00125191,0.0119869,-0.00372079,-0.00322777,
1468348629587732,-0.0100106,0.0228602,1.40176,0.0226111,-0.0587312,0.255178,0.0366037,-0.0221304,0.00115559,0.0123518,-0.00393917,-0.00322825,
1468348629597771,-0.0115792,0.0270816,1.40279,-0.0284039,-0.090194,0.258994,0.0365748,-0.0228751,0.00372645,0.0127177,-0.0041642,-0.00320384,
1468348629607808,-0.01329,0.0298565,1.40469,-0.0722305,-0.115408,0.258994,0.0360716,-0.0239031,0.00631638,0.013081,-0.00439809,-0.00315363,
1468348629617847,-0.0176281,0.0322941,1.40686,-0.0722305,-0.115408,0.258994,0.0353493,-0.0250572,0.00890632,0.0134381,-0.00464289,-0.00307752,
1468348629627885,-0.0215811,0.0336483,1.40859,-0.122576,-0.0461446,0.168019,0.0343752,-0.0258649,0.0110414,0.0137867,-0.0048975,-0.00297778,
1468348629637924,-0.0256456,0.035331,1.40884,-0.122576,0.0161796,0.168019,0.0331495,-0.0260147,0.0127216,0.0141243,-0.0051569,-0.00285896,
1468348629647962,-0.0303408,0.037749,1.40749,-0.122576,0.0161796,0.168019,0.0319237,-0.025853,0.0144018,0.0144497,-0.00541624,-0.00272335,
1468348629658002,-0.0350805,0.0404856,1.40425,-0.122576,0.0161796,0.168019,0.030698,-0.0256912,0.016082,0.0147628,-0.00567396,-0.00257093,
1468348629668038,-0.0404557,0.0442484,1.39912,-0.154077,0.0413261,0.168019,0.0293147,-0.0254036,0.0177622,0.0150629,-0.00592943,-0.00240171,
1468348629678076,-0.045712,0.0522987,1.39296,-0.104819,0.082497,0.200503,0.0280202,-0.0247845,0.0196048,0.0153495,-0.00618037,-0.00221487,
1468348629688112,-0.0517051,0.0604886,1.38821,-0.104819,0.082497,0.200503,0.026972,-0.0239595,0.0216098,0.0156245,-0.00642409,-0.0020088,
1468348629698150,-0.0562269,0.0689064,1.38302,-0.131196,0.110855,0.200503,0.025792,-0.0229928,0.0236148,0.0158883,-0.00665886,-0.00178268,
1468348629708188,-0.0609992,0.0765106,1.37784,-0.131196,0.0710767,0.200503,0.02448,-0.0220831,0.0256198,0.0161397,-0.00688423,-0.0015365,
1468348629718226,-0.0647569,0.0820311,1.37344,-0.160502,0.0332093,0.200503,0.0230215,-0.0215617,0.0276249,0.0163772,-0.00710246,-0.00127028,
1468348629728263,-0.0690498,0.0856283,1.36989,-0.160502,-0.00952969,0.200503,0.0214165,-0.0214433,0.0296299,0.0165994,-0.00731748,-0.000984006,
1468348629738303,-0.0735598,0.0876732,1.3677,-0.1185,-0.0710349,0.25159,0.0200215,-0.0218461,0.0318904,0.0168066,-0.00753393,-0.000676405,
1468348629748340,-0.0760543,0.0877089,1.36725,-0.1185,-0.108802,0.277053,0.0188365,-0.0227453,0.0345336,0.0170009,-0.00775689,-0.000344285,
1468348629758376,-0.0777248,0.0860287,1.3675,-0.1185,-0.108802,0.277053,0.0176515,-0.0238333,0.0373041,0.0171833,-0.00798978,1.49035e-05,
1468348629768413,-0.0797445,0.0833187,1.36745,-0.0592641,-0.187906,0.0454597,0.0167627,-0.0253169,0.0389167,0.0173554,-0.00823553,0.000396007,
1468348629778456,-0.0816487,0.080752,1.36681,-0.0592641,-0.254098,0.108019,0.01617,-0.0275269,0.0396841,0.01752,-0.00849975,0.000789011,
1468348629788494,-0.083241,0.0780799,1.36545,-0.0592641,-0.296911,0.0498452,0.0155774,-0.0302819,0.0404734,0.0176788,-0.0087888,0.0011898,
1468348629798541,-0.0833547,0.0754849,1.36385,-0.00824912,-0.323488,-0.0393557,0.0152398,-0.0333839,0.0405258,0.0178328,-0.00910712,0.00159479,
1468348629808617,-0.0817652,0.072721,1.36305,0.0355775,-0.178008,-0.132598,0.0153765,-0.0358914,0.0396661,0.0179859,-0.0094535,0.00199575,
1468348629818653,-0.0821813,0.0697658,1.36976,-0.00281512,-0.130138,0.167949,0.0155403,-0.0374321,0.0398428,0.0181405,-0.00982012,0.0023933,
1468348629828755,-0.0816789,0.0699369,1.37479,-0.00281512,-0.165148,0.120286,0.0155121,-0.0389086,0.041284,0.0182958,-0.0102018,0.00279893,
1468348629838792,-0.082609,0.0692243,1.37566,0.0299836,-0.290861,0.186775,0.015648,-0.0411886,0.0428193,0.0184516,-0.0106023,0.00321945,
1468348629848828,-0.0818069,0.0665359,1.37697,-0.0156808,-0.338631,0.13634,0.0157195,-0.0443361,0.0444349,0.0186084,-0.0110299,0.00365572,
1468348629858863,-0.0817683,0.061267,1.37976,-0.052664,-0.338631,0.174499,0.0153778,-0.0477224,0.0459891,0.0187639,-0.0114902,0.00410784,
1468348629868899,-0.0824927,0.0550709,1.3831,-0.077695,-0.400033,0.201434,0.014726,-0.0514157,0.0478687,0.0189144,-0.0119859,0.00457713,
1468348629878936,-0.083865,0.0471493,1.3869,-0.126953,-0.437579,0.217967,0.0137027,-0.0556038,0.0499657,0.0190566,-0.012521,0.0050663,
1468348629888971,-0.0848421,0.0383302,1.39012,-0.126953,-0.437579,0.217967,0.0124332,-0.0599796,0.0521454,0.0191872,-0.0130989,0.00557686,
1468348629899010,-0.0857501,0.0289882,1.39241,-0.0748625,-0.409755,0.217967,0.0114241,-0.0642162,0.0543251,0.0193065,-0.0137199,0.00610921,
1468348629909047,-0.0868504,0.0206825,1.39343,-0.0748625,-0.332767,0.217967,0.0106755,-0.0679288,0.0565048,0.019417,-0.0143806,0.00666336,
1468348629919086,-0.0876679,0.0150126,1.39341,-0.0165925,-0.261265,0.217967,0.0102182,-0.070899,0.0586844,0.0195215,-0.0150748,0.0072393,
1468348629929124,-0.0877794,0.0110277,1.39263,0.013982,-0.17633,0.217967,0.0102052,-0.073087,0.0608641,0.0196236,-0.0157947,0.00783705,
1468348629939161,-0.0873241,0.00895053,1.39101,-0.00236829,-0.114825,0.212797,0.0102632,-0.0745428,0.0630179,0.019726,-0.0165329,0.00845646,
1468348629949199,-0.0860894,0.00810588,1.38878,-0.00236829,-0.0770578,0.247108,0.0102396,-0.0755022,0.0653174,0.0198285,-0.0172831,0.00909813,
1468348629959236,-0.0842152,0.00799413,1.38629,-0.00236829,-0.102602,0.330176,0.0102159,-0.0764005,0.0682039,0.0199307,-0.0180426,0.00976574,
1468348629969272,-0.0814882,0.00776065,1.38351,-0.00236829,-0.136715,0.391273,0.0101922,-0.0775971,0.0718111,0.0200328,-0.0188126,0.0104658,
1468348629979308,-0.0785271,0.00693989,1.38101,-0.00236829,-0.137203,0.391273,0.0101685,-0.0789666,0.0757238,0.0201346,-0.0195954,0.0112035,
