time, axm_ori, aym_ori, azm_ori, axl_ori, ayl_ori, azl_ori, axm, aym, azm, axl, ayl, azl, acc1x, acc1y, acc1z, acc2x, acc2y, acc2z, acc3x, acc3y, acc3z
1468176032757580,-0.0107422,0.0258789,0.932617,0.002928,0.040992,0.977952,0.00295781,0.0131789,0.995617,-0.001672,0.015892,0.982252,0,0,0,0,0,0,0,0,0,
1468176032763714,-0.00976562,0.0249023,0.926758,0.002928,0.041724,0.970632,0.00393438,0.0122023,0.989758,-0.001672,0.016624,0.974932,0,0,0,0,0,0,0,0,0,
1468176032769784,-0.00585938,0.0258789,0.919922,0.000732,0.04026,0.975024,0.00784063,0.0131789,0.982922,-0.003868,0.01516,0.979324,0,0,0,0,0,0,0,0,0,
1468176032775865,-0.0126953,0.0170898,0.926758,0.000732,0.051972,0.972828,0.00100469,0.00438984,0.989758,-0.003868,0.026872,0.977128,0,0,0,0,0,0,0,0,0,
1468176032781943,-0.00634766,0.019043,0.920898,0.002196,0.05124,0.967704,0.00735234,0.00634297,0.983898,-0.002404,0.02614,0.972004,0,0,0,0,0,0,0,0,0,
1468176032788003,-0.0224609,0.0244141,0.930176,0.00366,0.043188,0.972828,-0.00876094,0.0117141,0.993176,-0.00094,0.018088,0.977128,0,0,0,0,0,0,0,0,0,
1468176032794061,-0.0117188,0.0131836,0.927246,-0.004392,0.049044,0.976488,0.00198125,0.000483594,0.990246,-0.008992,0.023944,0.980788,0,0,0,0,0,0,0,0,0,
1468176032800121,-0.0161133,0.0175781,0.925781,-0.005856,0.041724,0.97722,-0.00241328,0.00487813,0.988781,-0.010456,0.016624,0.98152,0,0,0,0,0,0,0,0,0,
1468176032806180,-0.0136719,0.0234375,0.912598,-0.001464,0.032208,0.975756,2.81241e-05,0.0107375,0.975598,-0.006064,0.007108,0.980056,0,0,0,0,0,0,0,0,0,
1468176032812241,-0.0078125,0.0209961,0.919434,-0.001464,0.044652,0.974292,0.0058875,0.00829609,0.982434,-0.006064,0.019552,0.978592,0,0,0,0,0,0,0,0,0,
1468176032818302,-0.00976562,0.0170898,0.931641,0.002196,0.040992,0.97722,0.00393438,0.00438984,0.994641,-0.002404,0.015892,0.98152,0,0,0,0,0,0,0,0,0,
1468176032824361,-0.0161133,0.0229492,0.925781,0.002196,0.042456,0.97356,-0.00241328,0.0102492,0.988781,-0.002404,0.017356,0.97786,0,0,0,0,0,0,0,0,0,
1468176032830420,-0.0131836,0.0224609,0.923828,0.001464,0.049776,0.979416,0.000516406,0.00976094,0.986828,-0.003136,0.024676,0.983716,0,0,0,0,0,0,0,0,0,
