time, attx, atty, attz, accx, accy, accz, acc_raw1x, acc_raw1y, acc_raw1z, acc_raw2x, acc_raw2y, acc_raw2z, velx, vely, velz, vel_raw1x, vel_raw1y, vel_raw1z, vel_raw2x, vel_raw2y, vel_raw2z, locx, locy, locz, loc_raw1x, loc_raw1y, loc_raw1z, loc_raw2x, loc_raw2y, loc_raw2z,
1468353515608619,0.0133159,0.0267332,1.5292,0,0,0,0.14377,-0.027161,-0.0304068,0.0690321,-0.18685,-0.108405,0,0,0,15.8206,-10.8109,-7.2947,6.44212,-23.5759,-4.62901,0,0,0,4.17026,-3.02084,-1.60453,1.5159,-6.23839,-1.34013,
1468353515618658,0.0133349,0.0267526,1.53042,0,0,0,0.12756,-0.114206,0.0823007,0.0769561,-0.192919,-0.0652549,0,0,0,16.092,-10.9522,-7.24281,6.5881,-23.9557,-4.80267,0,0,0,4.32982,-3.12965,-1.67722,1.58105,-6.47604,-1.38729,
1468353515628707,0.0133653,0.0267673,1.53165,0,0,0,0.115333,-0.150284,-0.0411194,-0.00221484,-0.217691,-0.0419061,0,0,0,16.3349,-11.2167,-7.20162,6.66285,-24.3663,-4.90983,0,0,0,4.49196,-3.2405,-1.74944,1.6473,-6.71765,-1.43585,
1468353515638754,0.0133907,0.0267756,1.53272,0,0,0,0.21328,-0.0480274,-0.208085,0.0849588,-0.219802,-4.67618e-06,0,0,0,16.6635,-11.415,-7.45083,6.74559,-24.8038,-4.95174,0,0,0,4.65695,-3.35366,-1.8227,1.71434,-6.9635,-1.48516,
1468353515648790,0.0134332,0.0267862,1.53419,0,0,0,0.108879,-0.0966067,-0.0328349,0.0793261,-0.184411,-0.0367483,0,0,0,16.9856,-11.5597,-7.69175,6.90988,-25.208,-4.98849,0,0,0,4.82519,-3.46853,-1.89842,1.78262,-7.21356,-1.53486,
1468353515658840,0.0134426,0.0268043,1.5351,0,0,0,0.227633,-0.0176446,0.0208744,0.072827,-0.169753,-0.0442103,0,0,0,17.3221,-11.6739,-7.70371,7.06203,-25.5622,-5.06945,0,0,0,4.99673,-3.5847,-1.97539,1.85248,-7.46741,-1.58515,
1468353515668876,0.0134597,0.0268162,1.53628,0,0,0,0.10305,-0.121107,-0.0799912,0.115682,-0.212386,0.0209446,0,0,0,17.6528,-11.8127,-7.76282,7.25054,-25.9443,-5.09272,0,0,0,5.17161,-3.70213,-2.05273,1.92404,-7.72495,-1.63596,
1468353515678912,0.0134933,0.0268435,1.53746,0,0,0,0.122031,-0.140513,-0.0797358,0.0855878,-0.241606,-0.0496493,0,0,0,17.8779,-12.0743,-7.92255,7.45181,-26.3983,-5.12142,0,0,0,5.34926,-3.82157,-2.13115,1.99756,-7.98666,-1.68703,
1468353515688950,0.0135126,0.0268598,1.53889,0,0,0,0.180819,-0.0142745,0.04065,0.110044,-0.156576,-0.0737772,0,0,0,18.1808,-12.2291,-7.96164,7.64744,-26.7965,-5.24485,0,0,0,5.52956,-3.94308,-2.21057,2.07305,-8.25263,-1.73886,
1468353515698986,0.0135356,0.0268665,1.54004,0,0,0,0.180954,-0.0953229,-0.134451,0.110889,-0.162376,-0.0305348,0,0,0,18.5425,-12.3387,-8.05544,7.86837,-27.1154,-5.34916,0,0,0,5.71317,-4.06592,-2.29066,2.15063,-8.52219,-1.79183,
1468353515709034,0.0135571,0.0268806,1.54118,0,0,0,0.154496,-0.0046521,-0.189158,0.102061,-0.206295,-0.0795061,0,0,0,18.878,-12.4387,-8.37905,8.08132,-27.4841,-5.4592,0,0,0,5.90027,-4.18981,-2.37283,2.23038,-8.79519,-1.84588,
1468353515719081,0.0135868,0.0268862,1.5423,0,0,0,0.120409,-0.0685095,-0.115111,0.118323,-0.183672,-0.0300555,0,0,0,19.1529,-12.5118,-8.68331,8.3017,-27.8741,-5.56876,0,0,0,6.09043,-4.31456,-2.45814,2.31229,-9.07198,-1.90102,
1468353515729120,0.0136142,0.0268993,1.54333,0,0,0,0.213058,-0.0682594,-0.0206272,0.07353,-0.233967,-0.0855202,0,0,0,19.4864,-12.6486,-8.81905,8.49356,-28.2917,-5.68434,0,0,0,6.28362,-4.44036,-2.54566,2.39627,-9.35281,-1.95728,
1468353515739157,0.013635,0.0269073,1.54436,0,0,0,0.153355,-0.0984397,-0.143517,0.0760885,-0.209441,0.0215279,0,0,0,19.8528,-12.8153,-8.9832,8.64318,-28.7351,-5.74833,0,0,0,6.48032,-4.56768,-2.63467,2.48195,-9.63794,-2.01444,
1468353515749194,0.0136593,0.026913,1.54528,0,0,0,0.210209,-0.178923,-0.0607488,0.156469,-0.175306,0.0266589,0,0,0,20.2163,-13.0926,-9.18746,8.87573,-29.1199,-5.70015,0,0,0,6.68067,-4.69722,-2.72552,2.56955,-9.92722,-2.07169,
1468353515759233,0.013689,0.0269085,1.54632,0,0,0,0.172551,-0.136391,-0.123612,0.118948,-0.212461,-0.0579928,0,0,0,20.5991,-13.408,-9.37182,9.15115,-29.5076,-5.73148,0,0,0,6.88474,-4.82972,-2.81832,2.65968,-10.2204,-2.12885,
1468353515769270,0.0137121,0.0269012,1.54721,0,0,0,0.116654,-0.0869557,-0.119331,0.112384,-0.191309,-0.0800029,0,0,0,20.8883,-13.6313,-9.61477,9.38248,-29.9114,-5.86947,0,0,0,7.09218,-4.96492,-2.91325,2.75235,-10.5175,-2.18685,
1468353515779309,0.0137287,0.0269019,1.54821,0,0,0,0.207229,-0.122168,-0.110107,0.103307,-0.27769,-0.0991156,0,0,0,21.2122,-13.8404,-9.84421,9.59817,-30.3804,-6.04859,0,0,0,7.30268,-5.10228,-3.01054,2.84725,-10.8189,-2.24644,
1468353515789345,0.0137458,0.0269031,1.54917,0,0,0,0.206551,-0.132932,-0.162502,0.0995575,-0.189234,-0.0224082,0,0,0,21.626,-14.0955,-10.1168,9.80104,-30.8473,-6.17012,0,0,0,7.51687,-5.24196,-3.11035,2.94425,-11.125,-2.30753,
1468353515799381,0.0137623,0.026915,1.5501,0,0,0,0.189585,-0.0596771,-0.135457,0.0623715,-0.191331,-0.136717,0,0,0,22.0221,-14.2881,-10.4148,9.96297,-31.2279,-6.32924,0,0,0,7.73511,-5.38388,-3.21301,3.04307,-11.4354,-2.37003,
1468353515809417,0.0137758,0.0269162,1.55102,0,0,0,0.129105,-0.0691532,-0.00498656,0.0840199,-0.261148,-0.04898,0,0,0,22.3408,-14.417,-10.5552,10.1094,-31.6804,-6.51494,0,0,0,7.95693,-5.5274,-3.31786,3.14343,-11.75,-2.43425,
1468353515819454,0.0138169,0.0269184,1.55197,0,0,0,0.18944,-0.11156,-0.11969,0.107048,-0.232195,-0.0285282,0,0,0,22.6593,-14.5977,-10.6799,10.3004,-32.1737,-6.59245,0,0,0,8.18193,-5.67248,-3.42403,3.24548,-12.0692,-2.49979,
1468353515829490,0.0138138,0.0269205,1.55284,0,0,0,0.212344,0.0200467,-0.0277093,0.0661665,-0.158205,0.0203624,0,0,0,23.0611,-14.6892,-10.8273,10.4736,-32.5641,-6.60061,0,0,0,8.41053,-5.81891,-3.53157,3.34935,-12.3929,-2.56575,
1468353515839523,0.0138229,0.0269162,1.55369,0,0,0,0.21287,-0.0667538,-0.231393,0.142322,-0.248543,-0.0860393,0,0,0,23.4863,-14.7359,-11.0864,10.6821,-32.9708,-6.66629,0,0,0,8.64327,-5.96604,-3.64114,3.45513,-12.7206,-2.63209,
1468353515849560,0.0138288,0.0269149,1.55455,0,0,0,0.124513,-0.0464976,-0.0725789,0.1145,-0.246807,-0.0425935,0,0,0,23.8237,-14.8492,-11.3904,10.939,-33.4662,-6.79492,0,0,0,8.87982,-6.11396,-3.75352,3.56324,-13.0528,-2.69939,
